"log[Drug], M",Gi1,Gi1,Gi1,Gi1,Gi1,Gi1,Gi1,Gi1,Gi1,Gi1,Gi1,Gi1,Gi2,Gi2,Gi2,Gi2,Gi2,Gi2,Gi2,Gi2,Gi2,Gi2,Gi2,Gi2,Gi3,Gi3,Gi3,Gi3,Gi3,Gi3,Gi3,Gi3,Gi3,Gi3,Gi3,Gi3,Goa,Goa,Goa,Goa,Goa,Goa,Goa,Goa,Goa,Goa,Goa,Goa,Gob,Gob,Gob,Gob,Gob,Gob,Gob,Gob,Gob,Gob,Gob,Gob,Gz,Gz,Gz,Gz,Gz,Gz,Gz,Gz,Gz,Gz,Gz,Gz,arresin1,arresin1,arresin1,arresin1,arresin1,arresin1,arresin1,arresin1,arresin1,arresin1,arresin1,arresin1,"arrestin 2","arrestin 2","arrestin 2","arrestin 2","arrestin 2","arrestin 2","arrestin 2","arrestin 2","arrestin 2","arrestin 2","arrestin 2","arrestin 2"
-5,77.40560267106920,82.33510957206490,66.62230632514110,97.78476406817210,94.87182435900900,91.54275040567970,96.37672326201160,90.74012892179600,91.22387980105200,94.86516286687730,92.77423391813110,79.53168390940530,75.27452498428530,73.75576341564510,77.03896774571180,87.75630651800350,81.20904505370500,82.13939511396200,97.06552805958770,92.59968016887800,93.29144918253900,78.22011521266410,86.53437968357390,84.64051427162540,93.23595884075150,77.61095019774000,62.78722404924200,72.52328565202210,79.79122455239090,100.21067193914100,80.89209833010270,74.09056528240620,86.57826180086440,89.53383962168640,77.40942572641620,54.47134538401310,76.30480501491850,80.95796664305970,87.47239292245750,111.04604374555000,95.00703232253030,86.60564538666250,73.64762046349440,64.99190522535490,84.30080844889700,74.18444704306500,87.52828554209610,95.15333611297110,59.18457077301660,61.25509651212170,57.11404503391150,62.25126476049970,83.71295680332100,79.88051179567430,79.11402279414510,58.41881975285300,58.41881975285300,72.87985607305900,82.71281755739020,70.69475352098540,85.71962165782050,87.15027146895310,74.27442316875970,77.86058417557710,84.20850931756160,92.67240950687420,77.86058417557710,100.76659493047000,93.78946289788200,97.34115416172200,90.63733567025750,95.86069618024490,4.18649336384381,1.53807407890232,0.87596925766696,0.25641085908555,4.21954858433329,1.24719529039748,10.96807507094460,11.33549962955720,13.54004698123290,2.90888265022088,2.23919159305912,2.23919159305912,8.38275634432975,9.66435682887950,10.09155699039610,20.07278585883420,27.32326253468330,24.42307186434370,17.59959054104720,26.20688236022520,22.19014617794220,6.36860266659675,10.12281367438150,10.95708278722260
-6,53.99044489133960,66.00611796251670,55.22282161658850,75.72964912736560,80.72326005735950,86.13300523151960,77.54158447081790,94.91582287776400,79.28887628402720,55.48600099882420,69.42552732379870,73.77357860950710,70.02139805617860,77.54522160192520,64.76827112807190,68.32844097115750,76.73640255597070,78.59710267648490,79.83260411423280,85.68199003226510,91.90791115521700,88.82068529689460,79.12097033900990,63.99386660776650,71.60133148888940,51.56926912605430,68.34810796658300,71.83110099484410,72.52328565202210,74.59983962355600,62.46128097629430,53.93203577015180,72.31363919779310,67.57881986538630,66.77625483415930,61.69155776467430,90.26428989934220,76.30480501491850,53.03899687421230,106.46346905325900,82.78683314308630,76.67673355336430,74.31344471258210,67.65520222170550,77.64256595802040,90.06996906572110,68.46565911490880,42.41340299775280,72.98807570038400,82.65052914954130,57.11404503391150,52.28690774061830,56.88584174979430,63.78424276355830,60.71828675744100,67.61668777120500,60.02308371614890,78.88888809126140,80.52771500531660,61.95434331269100,98.59546995801400,84.31806920254400,84.25987449083150,74.68662160458490,89.12209759847600,83.25228474351500,74.68662160458490,93.66321240279110,93.13438910636300,94.31828619431000,94.76677558525970,88.61365612357960,1.86912648952001,2.53123131075538,3.85544095322612,1.57745676750146,1.24719529039748,0.58667233618953,12.80519786400760,13.54004698123290,12.80519786400760,2.90888265022088,3.57857370738263,3.24372817880175,2.40195408309760,5.81955537523026,5.39235521371368,18.62269052366440,19.10605563538770,22.97297652917380,12.43521544954040,23.91160454177780,23.33778508716590,4.70006444091464,7.20287177943781,5.53433355375570
-7,57.68757506708640,43.82333690803600,40.43430091360150,74.89738063903330,71.98444092987010,81.13939430152570,77.64991194244340,78.70644567962410,66.28769128334330,66.98611021692820,65.72833257134200,69.91019046883440,68.35224947773850,67.03896774571180,55.57529900388520,69.16923712963880,69.43789883496620,69.34834493319040,62.47707737652350,74.92891962242660,60.46307173171690,63.34721894390750,68.52040025477940,56.23409464145870,44.35772667543360,64.38978903826880,46.31283936746430,69.75454702331010,48.64291497938160,74.25374729496710,61.39512532552650,52.15510968553880,72.76745226704990,43.98536579891460,59.71433517656240,57.60102269719810,53.03899687421230,53.03899687421230,60.48405547923830,95.00703232253030,77.44049600207960,89.66069518152350,47.01465049998820,53.00706874177710,48.34629899816350,62.74687118675260,57.02808325859640,60.20518766312760,59.87474601938500,59.87474601938500,60.56492126575330,63.74859978343970,55.35286374673560,56.11935274826500,56.26192466873950,61.59170469932620,50.02308371614890,67.41709969287500,62.50061895070940,58.67668948458060,62.82922467969890,77.13572279102490,78.52272656837290,91.61442198321010,82.19429721985100,85.94813502748400,91.61442198321010,73.53696190770000,84.19203569921890,88.92762405100500,74.11957601024910,68.61365612357960,1.20702166828463,3.52438854260843,0.87596925766696,-1.72515800353832,1.57745676750146,-0.07385061801843,9.13095227788146,11.33549962955720,12.80519786400760,3.24372817880175,1.23465500731650,1.56950053589738,6.24675553674684,7.10115585978001,7.52835602129659,15.72249985332480,19.10605563538770,16.68923007677130,15.87813217721160,21.04250726871840,25.05924345100150,9.70567911796099,8.87141000511993,7.20287177943781
-8,36.12098237523020,49.67712635296840,22.87293257880430,71.15217244153780,56.17133965155600,42.85504383823890,43.37553826132770,43.17817881103370,49.38755600917420,45.03135625509330,48.51623783633690,38.19776807951730,46.38232687969850,58.85850333395190,49.00889034375180,40.85082944660140,40.85082944660140,51.60207170330700,54.92891962242660,50.71700414428170,49.07953370439430,44.59443669199700,53.00085632216380,38.12796005340720,32.33848925773250,38.74874921383970,37.13015304339530,44.14371470772470,35.49140649299990,36.18359115017790,37.22893057478930,36.06434707168750,42.91509404555100,35.13782052398770,30.87789131754140,32.18863876567870,20.46686547722350,45.59393826918630,55.83089385109700,71.33039641235760,58.34643478419840,48.41752295090010,45.01717775272520,48.38420778921880,40.35640800911160,49.40303268772150,48.13219092590900,37.96545683140910,39.16948862833380,55.73369454117470,23.29545796186130,41.55606171920760,28.52574869320890,24.69330368556220,33.96245766415150,29.36352365497550,33.92681468403280,46.11234981015750,52.12138182835990,31.36290758366080,65.69052430196410,38.50817789044460,51.38402619063810,52.46888360763940,54.58485865496760,58.81680874962390,52.46888360763940,53.41071141260890,58.14629976439510,74.72085899564660,53.47237643523870,54.84885640690600,0.87596925766696,-1.11034520603916,-0.44824038480379,1.57745676750146,3.22876415302135,1.24719529039748,8.39610316065622,9.86580139510670,10.23322595371930,1.56950053589738,-2.11380027849227,-0.77441816416877,3.25635440613076,2.82915424461418,6.24675553674684,18.62269052366440,12.33894407126190,13.30567429470840,11.28757654031660,15.87813217721160,14.73049326798790,5.53433355375570,0.11158432028882,8.45427544869940
-9,17.46822351319280,31.49956965554670,16.23584678794380,29.09705750073130,25.37740558326020,26.60025203573430,17.55123221729650,22.05404888211570,29.97963436005590,23.77357860950710,28.65241282324820,27.04614701953760,32.89364271301840,27.64051578491170,27.64051578491170,27.30853700912460,33.94535237519930,39.74137158279280,38.58039570712060,30.34046893936250,30.02523513062040,33.55534882676580,30.96875817132990,24.50228153274010,29.53400052693550,15.11091562569420,14.30963313118080,10.22666650600360,16.45632842060540,17.49460540637240,21.94736624711730,36.87354535786680,23.01352189788520,23.99646721482050,19.08116428430550,18.26749783717270,13.02180687219770,26.98129175662130,27.91192408224950,40.01613601503240,43.83494825860870,27.79593683558860,24.91964092884920,31.07277731293970,33.72343804560520,20.17367216603440,37.33003595050290,34.78835242687790,20.17050041466340,19.84458173001940,12.59365484929410,28.52574869320890,19.79870138325790,20.16565563662340,21.62734767944480,23.99810064427010,10.13001265650480,25.68795259679610,32.45545885969760,20.86735505942470,29.92427902364900,8.46453185665989,25.63232959025120,28.13517056336570,36.59907075267830,44.00498341832680,28.13517056336570,26.18107838983860,34.46835800546440,32.22681432466240,39.06037714355440,33.55445725688490,1.53807407890232,-0.11718797418610,0.54491684704927,-0.07385061801843,4.88007153854124,-2.05541948064229,7.29382948481837,8.76352771926884,11.33549962955720,-0.77441816416877,-1.10926369274964,1.23465500731650,-0.58844704751848,0.26595327551468,5.39235521371368,10.88884873609210,11.85557895953860,16.68923007677130,-0.18881255192074,14.73049326798790,18.17340999565910,-0.30555023613171,1.78012254597093,5.53433355375570
-10,12.39773041418840,11.47344787025170,9.62488278237835,18.71925767660160,29.52596988490970,26.60025203573430,18.23234254684660,16.91085316763450,12.69442793177750,14.71288649827360,10.87951675890560,18.19776807951730,14.20692444504500,13.37199192751510,5.01395232085831,17.03987530379730,18.90057542431150,24.78614853368070,19.64869992570120,20.97093655684650,20.02523513062040,17.43523480991970,19.07731940829860,5.79557686045804,8.70065566958695,25.92822930162520,5.89616693878997,3.30481993422372,12.30322047753750,26.07355856293560,29.76584101941460,18.39351407789130,22.55970882862850,14.16586135379060,16.45966938803090,22.21848174792590,9.31336894288033,14.89716289664980,20.46686547722350,29.32346173301910,14.81197520742940,17.10326255357510,18.39684405290400,17.06519555472860,18.38420778921880,10.96195099837160,5.55899190519076,16.36114688059690,15.00172713924200,14.32317975907240,4.66072630991520,12.90030036949390,19.76305840313920,0.16565563662343,11.66299065956350,9.36352365497546,10.93214463815280,10.86735505942470,17.70601663320080,6.78050387283286,9.89518166779249,20.11936701013580,21.31128280099690,31.30913313435800,20.72925789771720,24.00498341832680,21.30913313435800,9.60651915858714,19.07769586215940,16.30732888492970,9.42501734188284,8.04853737021547,1.86912648952001,0.87596925766696,1.20702166828463,0.91693381329351,3.55902563012533,0.58667233618953,8.76352771926884,9.49837683649408,10.96807507094460,0.89980947873562,-1.10926369274964,2.23919159305912,-2.29724769358481,1.97475392158101,-0.58844704751848,12.82230918298510,10.40548362436880,15.23913474160150,7.27084035803356,18.17340999565910,13.00903490415230,-1.55695390539328,-1.13981934897275,-2.80835757465487
-11,3.77109333744599,6.85203515056830,7.46822351319276,13.30951250244150,28.70647953658950,17.44529866407880,5.32018952483092,12.99046710721840,11.82560589841220,8.09161149391069,18.19776807951730,5.30370622891578,8.77550586542176,11.58036098099170,4.35731145484498,6.10952524354024,9.65181768101700,8.90057542431150,14.42978162515290,18.89562951586270,29.27216472078190,18.13038670232440,5.79557686045804,6.44222452431702,4.52050548988435,8.52691796245139,3.71922299537094,7.45792787729162,10.15610335166620,23.37817499238530,18.03812886096870,15.90581755943310,24.43506276557560,-6.80609781640647,2.36913432055475,13.03214819505870,2.78485129028691,20.01014431541680,16.28761501290380,16.19732377145630,28.55969928430380,18.63078745100560,15.72091079286820,10.39431680016690,13.04497753283250,21.43063778477790,14.15293154597170,15.89246009419060,14.66418058839920,22.93120140013690,31.91856174760860,8.26572338019927,22.06252540772720,8.59703465344612,13.23161164274080,10.13001265650480,14.43327837255260,7.96893835366389,20.86735505942470,13.97797037186620,4.17258242326207,5.60323223439467,15.85651493259440,23.90322046870940,27.07718303970170,15.54108322901420,13.90322046870940,16.18107838983860,15.65225509341090,16.30732888492970,12.96330240312350,17.09274231812560,0.54491684704927,0.21386443643159,-2.76560725912759,2.89850267591737,-0.40411209512241,-1.06463504933036,7.66125404343098,9.13095227788146,7.29382948481837,2.23919159305912,0.89980947873562,-1.10926369274964,-1.01564720903506,0.26595327551468,3.25635440613076,10.40548362436880,14.75576962987820,17.17259518849460,6.69702090342169,15.30431272259970,19.32104890488280,-0.30555023613171,1.78012254597093,3.03152621523252
-12,10.85725950762730,8.86770822174530,7.93648555241881,14.96127133909400,9.14817006077985,9.51319174489750,15.06488162927820,10.40543679405330,5.99165210790230,18.19776807951730,2.16731280579654,7.93884377980997,11.40206932947510,4.68527365954180,7.31183712359510,3.85579847342360,7.39809091090040,7.30853700912460,12.41577598034630,12.41577598034630,11.78530836286220,11.36362502161930,10.37061473601660,-3.25749043356773,9.32820045696480,7.72563546793798,8.30001442233020,13.37817499238530,16.80242074919440,12.03048320711000,13.31969318864070,23.36890711480780,11.13816796093800,16.63670367743640,10.41065329878410,6.47841095437211,9.29927756968466,10.22990989531290,12.10836454858400,12.37851152788000,14.81197520742940,9.39454989972080,4.40189855837802,17.05255929104350,16.38673504195590,10.47562485794080,17.63198864240940,9.23629859322160,3.31399438502810,10.87575780571460,14.67926273308210,11.36732236643520,6.69710239702190,3.23161164274077,14.72894666568080,9.79870138325795,12.42947966109280,10.53327802808700,15.61679728592140,6.16307292393980,11.57911417712480,5.60323223439467,8.46453185665989,11.78724542138130,16.01919551603760,15.64284617863170,11.78724542138130,15.77850558850200,13.41071141260890,13.41071141260890,12.96330240312350,2.54261748354599,1.20702166828463,2.20017890013769,0.21386443643159,-3.70672686616218,-1.06463504933036,0.25641085908555,7.66125404343098,12.43777330539500,8.76352771926884,-0.10472710700701,2.57403712164000,0.23011842157387,-4.00604833965114,-2.72444785510140,-0.58844704751848,11.85557895953860,9.92211851264551,15.23913474160150,6.69702090342169,7.27084035803356,14.73049326798790,-4.47689580033698,-2.39122301823434,0.94585343312987
