"log[Drug], M",Gi1,Gi1,Gi1,Gi1,Gi1,Gi1,Gi1,Gi1,Gi1,Gi2,Gi2,Gi2,Gi2,Gi2,Gi2,Gi2,Gi2,Gi2,Gi3,Gi3,Gi3,Gi3,Gi3,Gi3,Gi3,Gi3,Gi3,Goa,Goa,Goa,Goa,Goa,Goa,Goa,Goa,Goa,Gob,Gob,Gob,Gob,Gob,Gob,Gob,Gob,Gob,Gz,Gz,Gz,Gz,Gz,Gz,Gz,Gz,Gz,arresin1,arresin1,arresin1,arresin1,arresin1,arresin1,arresin1,arresin1,arresin1,"arrestin 2","arrestin 2","arrestin 2","arrestin 2","arrestin 2","arrestin 2","arrestin 2","arrestin 2","arrestin 2"
-5*,57.99042065591020,51.91596552015590,53.93538859904820,61.99721906988230,51.17772872156220,41.60664110574040,48.51873397580870,43.17817881103370,50.74977666827430,68.34564028981880,48.43678014476280,49.88319133562050,50.67172164304990,36.37818694886750,35.53739079038620,47.94992808963650,34.11454781641090,47.94992808963650,46.1845150505546,53.3464498861746,55.1345676149739,44.8358993649027,36.8757758073559,36.8757758073559,29.4104558024921,34.3858488394085,3.8227201840645,58.32283778522040,40.14372364492150,47.42726708372610,49.94504784833060,59.11019723291360,59.11019723291360,57.66783848539070,55.00454148904010,44.35135350363750,56.71286077637680,68.52937624298340,59.44256894056700,56.95712771003160,44.62201772532490,56.95712771003160,32.35819370085550,23.92681468403280,7.06405665038745,58.29039544543890,54.56184712098160,30.94770773275190,37.65705827634240,32.36712065802200,15.43932027939680,30.91666674162480,33.28446091751790,26.18107838983860,3.18016474547342,1.25986041371032,2.54006330155239,2.56824119881340,5.87085596985317,3.88928710722931,3.98700845730480,4.35443301591742,1.78246110562909,4.15104956905182,6.19747306415916,12.33674354948130,9.43875340092223,9.92211851264551,7.50529295402914,15.87813217721160,13.00903490415230,15.87813217721160
-6,55.05030848249540,61.51227161966430,68.00660655498730,52.38779703402420,53.22006552235650,50.68492563732300,55.02415034939000,61.04581584371520,60.66074468960600,61.06454869688430,48.55935650054150,47.89743908300200,49.25879103141460,50.09958718989590,57.57719871445200,58.01122948581380,57.25815907597520,51.40877315794290,58.8380376416302,45.2586475438906,54.8259451127525,42.0671607361908,52.7226678642880,50.0272842937376,53.1720514101396,50.0720123101702,46.1135609978545,60.20321255834660,61.38739200810150,60.46207684989460,72.09415886107280,56.60564538666250,65.98405927135080,60.33113548174130,56.34882625090050,53.01970500546220,55.34941668407600,57.62041351478290,42.62393848926880,62.94646780179170,63.74859978343970,56.04806678802770,59.95179775591160,62.25126476049970,57.72361671156090,70.71888986029660,69.36163148258320,68.17598650921130,67.86058417557710,67.86058417557710,62.57064655725680,61.16916773180700,65.77850558850200,58.14629976439510,3.82026618939446,3.18016474547342,4.14031691135497,4.88007153854124,1.90771824460544,1.57745676750146,3.61958389869218,0.68018742979123,4.72185757453004,4.15104956905182,6.70907893793600,14.38316704458860,12.82230918298510,13.30567429470840,10.40548362436880,12.43521544954040,11.86139599492850,12.43521544954040
-7,57.52198315911060,54.03250399351060,69.00822514489500,67.82309848820850,50.34546023322980,67.40696424404240,60.65109694312730,65.31054177835230,51.33220727267740,54.44537452148940,49.81195259871300,49.22127391808100,57.39809091090040,51.51251780153120,53.19411011849380,56.25115625357190,56.25115625357190,58.01122948581380,41.5551775172344,49.7034425039062,55.1345676149739,56.6030385369284,53.1421152510385,57.9874078512844,53.2212653363066,54.0304636224859,49.3120279501579,65.34751693247690,65.92473442899810,61.06903880312840,62.85792130978810,53.47950742509970,61.33039641235800,59.02475951093630,53.01970500546220,49.01212324725110,65.80248805838190,58.98385760708370,59.89705030466730,56.81455578955700,59.84486881555570,66.08370976814630,53.01775376202900,59.18530875438230,57.72361671156090,63.09017980704060,66.99034153583930,60.60448092406900,68.91857169924120,75.74460912824900,64.10674636794420,67.61747646796740,69.98527064386040,60.51409394028810,4.78041835527601,3.50021546743394,-0.02034247413175,0.58667233618953,3.88928710722931,1.90771824460544,-0.05466168743400,-0.78951080465924,3.61958389869218,-1.98822091627028,3.12783782149814,8.24389655926653,12.82230918298510,9.43875340092223,7.02192784230587,8.99229872186917,11.28757654031660,6.12320144880982
-8,57.99042065591020,58.03897835314140,58.55597354717230,59.48763546487320,64.49402453487920,56.96527371985190,52.98081936073980,51.52956672297130,53.46457023999600,52.45962226887090,43.19277842331800,48.63059523744900,68.32844097115750,58.32844097115750,59.16923712963880,54.86761822624940,58.01122948581380,59.39476751313630,67.4794677038280,46.5567548373048,35.9999724772500,47.6046379936146,44.1437147077247,53.8342999082165,33.3196931886407,42.9150940455510,42.9150940455510,52.91966911954210,42.57157145785640,57.13865833546550,68.27534661749660,58.13317028409300,53.00009764319160,43.68552925454990,39.02475951093630,49.01212324725110,66.71145078658240,58.53078623277780,60.80319305327910,62.25126476049970,64.47944580485030,54.51508878496900,59.25659471461960,43.08903972226630,53.92681468403280,75.69028762623970,58.40480438166650,70.71888986029660,74.68662160458490,76.80259665191310,64.10674636794420,69.45644734743270,64.06578520412770,62.88188811618120,0.93980969174981,1.57991113567084,0.93980969174981,4.54981006143726,3.22876415302135,2.56824119881340,-1.15693536327185,3.25215934007956,2.14988566424170,3.63944369527498,3.63944369527498,4.66265544282864,6.05519761885933,8.47202317747569,9.92211851264551,14.15667381337600,14.73049326798790,18.17340999565910
-9,32.96452321738690,34.03088540360290,25.45238379307920,40.09705750073130,37.18411779156820,33.02277534990660,37.64991194244340,37.35387276700250,31.04581584371520,34.19277842331800,33.67333847959360,30.36375139189610,34.76624457164790,31.58216774127410,40.07968322786300,43.79931400766880,37.63469428089450,38.95693091203990,20.8275224328229,4.7791523173126,34.4069125305625,31.3366990932458,21.6461138927541,20.2617445783981,36.1627749240215,33.3196931886407,36.5181601409441,45.10384856929690,35.96967481407870,28.07916942204040,36.36247315603920,32.47257274576110,26.43356132274100,33.01970500546220,35.69563826549800,34.35135350363750,20.89846029446160,30.89705030466730,31.80601303286780,45.51508878496900,42.52041873908900,37.15499572838360,43.19596866262210,42.42947966109280,42.90030036949390,44.31899767949580,36.86190103058120,51.77609432841050,38.17894598931910,41.35290856031130,37.12095846565500,45.12343179698320,40.38784344519710,54.59460850055550,0.93980969174981,1.89996185763136,4.14031691135497,-0.07385061801843,2.89850267591737,1.90771824460544,-0.78951080465924,0.31276287117862,1.78246110562909,-0.96500916871659,1.59302020016762,3.63944369527498,7.98865806575242,4.60510228368951,7.50529295402914,10.13993763109290,19.32104890488280,18.17340999565910
-10,17.11316909818280,12.47989982151020,13.44914661326380,18.44529866407880,23.40057517403630,23.86782197825110,24.58113075002210,25.80394040408710,23.41626954121580,15.45102789214430,10.09869756230230,6.84610146413080,11.31350603594680,18.21898310734880,12.24385609620390,11.60140417433060,16.50508866613680,13.04624359783040,2.9274173039844,20.5188999306016,5.0967677537707,11.1959797941194,15.1070371786440,10.5711593779063,10.0373032759172,10.2196540886714,23.0135218978852,23.51208254443130,23.66196628641160,8.51766191228130,9.63078745100560,24.14227397659530,15.04821275871410,14.38926229469290,12.39178954742990,22.37915328374480,11.81165299204510,12.72061572024560,8.62887345354900,14.92681468403280,13.39383668097420,11.86085867791550,20.93214463815280,11.33167938631660,19.69177244290200,13.60922718736380,15.73346052532300,15.73346052532300,22.30913313435800,15.96120799237350,14.90322046870940,23.41634880882480,16.70990168626640,19.60651915858710,-0.02034247413175,0.29970824782877,2.22001257959188,-0.07385061801843,0.58667233618953,0.58667233618953,1.41503654701647,-0.05466168743400,3.61958389869218,0.05820257883709,1.59302020016762,4.15104956905182,1.22154650162660,7.98865806575242,4.12173717196624,-0.76263200653261,0.95882635730300,10.13993763109290
-11,12.12288063762910,16.47180687197170,13.45076520317150,19.96766040910000,10.39657279327840,11.21606314159860,13.99870014561900,12.83383893681280,21.04581584371520,-3.14144080444681,9.68937624293420,10.94197234110560,9.02480560912344,7.34321329216081,2.74634060961498,7.13555628362083,7.82732529728212,4.36848022897570,11.6187948017631,-0.7261052870910,16.8653773395261,11.2282659626898,6.7657432201136,15.0352815771686,15.4172954559232,9.8642688717488,10.9304245225166,15.98538480084070,9.65690097695560,13.58728144461840,3.35553847670064,10.08722418173430,10.46327376687560,16.25128942702450,16.25128942702450,18.91458642337520,12.82278793096260,15.54967611556410,15.09519475146390,18.49010571309020,14.65766070544360,12.35819370085550,11.26039342607930,23.59550341078590,17.32101947807670,12.49481825113620,17.27636387640840,19.70485829126610,12.54646762289240,13.32334523206870,5.91743256642018,12.88752551239700,12.50313663090790,11.31923954296140,1.89996185763136,3.82026618939446,0.61975896978929,3.22876415302135,3.22876415302135,0.25641085908555,-0.05466168743400,2.51731022285432,3.25215934007956,-3.01143266382396,-2.49982679004712,0.56980845261393,1.70491161334987,5.57183250713605,2.18827672507315,4.97556253958608,3.82792363036234,11.86139599492850
-12,14.45238379307920,7.40868186557114,15.64473160138320,14.94849319908180,14.14178099077380,13.72564674660770,12.99046710721840,11.39460404689070,10.56206496445910,-1.15568855182832,10.28005492356610,4.80156820602716,-4.82082481671686,0.61684402431028,-0.61684402431028,3.93274793495971,3.67671121531441,8.89562951586270,14.5809398950600,5.1377222551147,1.0347277893123,11.6843908785211,16.4563284206054,1.2282659626898,10.5750393055940,17.3273584271235,14.4842766917427,14.48285214611270,4.16449894113957,14.19424339785210,7.17435072027688,12.44959969458180,11.75692541256840,13.72343804560520,10.25887118523560,9.05003203830650,7.82349292585974,10.35576163815050,-12.36830656686230,20.09436967638620,16.26192466873950,11.66299065956350,15.16412439396330,10.52954740466860,18.15879443984330,17.27636387640840,11.06211666897950,17.16195494018080,18.61328285038910,10.43049257556430,9.09139513741240,7.23872498269407,17.36497547778520,13.68703371885450,3.18016474547342,3.18016474547342,3.18016474547342,1.24719529039748,0.58667233618953,0.58667233618953,-0.42208624604662,1.41503654701647,-0.78951080465924,5.17426131660548,2.61623194772130,9.77871418059705,3.15500694851969,6.05519761885933,-0.22854883354322,6.69702090342169,9.56611817648104,6.69702090342169
