"log[Drug], M",Gi1,Gi1,Gi1,Gi1,Gi1,Gi1,Gi1,Gi1,Gi1,Gi1,Gi1,Gi1,Gi2,Gi2,Gi2,Gi2,Gi2,Gi2,Gi2,Gi2,Gi2,Gi2,Gi2,Gi2,Gi3,Gi3,Gi3,Gi3,Gi3,Gi3,Gi3,Gi3,Gi3,Gi3,Gi3,Gi3,Goa,Goa,Goa,Goa,Goa,Goa,Goa,Goa,Goa,Goa,Goa,Goa,Gob,Gob,Gob,Gob,Gob,Gob,Gob,Gob,Gob,Gob,Gob,Gob,Gz,Gz,Gz,Gz,Gz,Gz,Gz,Gz,Gz,Gz,Gz,Gz,arresin1,arresin1,arresin1,arresin1,arresin1,arresin1,arresin1,arresin1,arresin1,arresin1,arresin1,arresin1,"arrestin 2","arrestin 2","arrestin 2","arrestin 2","arrestin 2","arrestin 2","arrestin 2","arrestin 2","arrestin 2","arrestin 2","arrestin 2","arrestin 2"
-5,88.58834534532600,85.61586137375700,69.00822514489500,71.98444092987010,84.05233401068890,91.54275040567970,86.76179441612080,80.74012892179600,88.90380512991800,82.31958917440020,81.97110101627590,84.41051812314630,68.34564028981880,77.61248413537180,71.51274990370120,80.94038334837720,84.30356798230250,64.96525633723220,84.99022101860380,83.92191680002330,79.77130271805560,82.49244139719000,86.02596475860000,81.15306848984380,77.66401027713270,69.02258021493480,65.01048768605720,81.52168619533580,72.17719332343310,73.56156263778910,62.10589575937170,55.35357663784220,65.65974792859780,75.77099141624450,75.44330455421020,73.47718338200420,88.70067990361860,73.52663107277580,75.98422334242320,80.42445763023880,81.04604374555000,81.80980619426600,85.61982068338710,84.96663269798460,82.29069943794890,60.20518766312760,66.55939647219010,71.00734263853380,87.61477355560600,80.34589170959010,71.71074579168520,90.61135781708500,90.61135781708500,86.08370976814630,77.58104479108640,74.58637474520630,72.25126476049970,85.11011871614400,89.81440085162930,81.62026628135340,85.34706081755700,86.58991025904300,87.94716863675600,76.80259665191310,74.68662160458490,90.07832217252300,87.74372696305850,88.92762405100500,81.82424152332580,87.88437572692280,87.15509533026600,75.49605598191650,1.89996185763136,1.25986041371032,1.89996185763136,2.56824119881340,2.23797972170942,0.58667233618953,9.86580139510670,8.76352771926884,11.33549962955720,6.59218346461052,9.94063875041930,9.60579322183842,-1.98822091627028,-3.01143266382396,2.10462607394446,14.27240451815490,19.10605563538770,16.68923007677130,10.71375708570480,5.54938199419795,2.10646526652674,7.20287177943781,14.29415923858680,12.62562101290470
-6,80.07458733111100,66.00336937517190,41.96452321738690,73.64897790653480,79.05872308069490,81.55552854569190,71.42123925134600,65.89297238275540,61.81595815193350,68.72855100755000,65.24366942630640,79.53168390940530,66.35988803720030,57.09304419164740,69.81195259871300,69.16923712963880,52.35331396001250,68.32844097115750,87.38076186832970,72.16184356778150,84.29845200494260,79.21312549826680,76.97289746457460,74.34022922951020,79.82436779268210,66.55360019716390,65.25864754389060,71.13891633766610,63.52488510870830,62.14051579435230,56.77511750553270,53.93203577015180,63.88282184398480,65.61269869318030,63.96316296710280,74.46024396810720,87.48675599715120,78.38232669864550,73.52663107277580,81.95198252766930,85.69970660454400,77.29831966867600,80.30586295437100,74.28817218521180,77.62992969433520,58.93434590131520,71.64276351944000,61.47602942494010,88.06784492991100,79.43551899159530,73.53008123788060,81.41348979873300,78.34753379261570,69.14966577426370,76.88584174979430,76.99277069015020,70.02308371614890,80.36067648964770,72.37874052605200,83.80536883342700,87.88996416864200,82.97577087081300,80.60448092406900,73.04875884428020,71.99077132061610,84.20850931756160,85.37593278716540,72.35306481975350,73.53696190770000,76.87253595358380,81.64917544359700,85.13141578358810,1.25986041371032,1.25986041371032,1.89996185763136,0.25641085908555,0.91693381329351,1.24719529039748,11.33549962955720,6.92640492620575,11.33549962955720,9.60579322183842,10.61032980758110,10.61032980758110,0.05820257883709,-0.45340329493975,0.05820257883709,13.78903940643170,14.27240451815490,16.68923007677130,2.10646526652674,7.84465981264543,11.28757654031660,14.71129379500730,13.04275556932520,13.87702468216630
-7,69.05678284212620,78.02279245406440,69.00822514489500,65.74242726737770,78.64258883652870,63.66175604654690,51.91463787708060,62.39838875633670,67.64026419596470,63.01656549064890,65.80447075564380,69.28935233688740,77.61248413537180,55.76920935656840,51.79770485133140,69.34834493319040,79.25879103141460,64.12446017875090,79.77130271805560,80.46307173171690,70.77830554045890,66.62653484283090,68.56647783440780,63.34721894390750,66.86222269938530,67.23446248613540,56.98630262830200,71.83110099484410,58.67959250846240,54.18039223680550,62.10589575937170,58.19665837322310,52.15510968553880,74.46024396810720,77.73711258845050,73.14949651996990,80.23295701505900,65.66587013745010,80.81017451158040,75.77079477124550,66.46346905325900,68.75475639940500,78.97421445619570,74.97926896166970,73.64762046349440,64.65313382947140,56.39266237769020,57.66350413950270,69.88859036590120,68.98526759687800,67.16593215068270,80.64700079720360,76.04806678802770,68.38317677273430,76.04806678802770,64.58637474520630,59.18530875438230,70.90695212766610,65.99047138550060,68.72184957559260,74.21862031229900,65.51867422189800,83.03297533892700,70.45467150992860,71.41089608397540,72.57064655725680,69.98527064386040,70.76659493047000,70.11152113895150,69.26085569859020,66.50789575525540,65.13141578358810,0.29970824782877,1.57991113567084,2.54006330155239,-2.71594243485025,0.58667233618953,4.88007153854124,7.66125404343098,9.49837683649408,7.66125404343098,6.92702899319140,7.26187452177228,9.27094769325754,-7.10427965403869,-3.01143266382396,2.61623194772130,10.88884873609210,12.33894407126190,17.65596030021780,2.68028472113860,5.54938199419795,10.71375708570480,8.45427544869940,9.70567911796099,6.36860266659675
-8,65.05030848249540,62.98232770637170,61.06002002194200,71.98444092987010,68.65536697654080,64.91015877904540,65.89297238275540,62.69442793177750,69.29852403050580,70.12250364004750,68.38006284942560,61.06181152881400,69.59823638799030,52.60209974268600,49.15003518117350,59.92047938634430,66.64684865419490,57.39809091090040,66.37375904592640,70.77830554045890,63.23014778636200,75.33323951511290,77.27318250668990,58.22011521266410,59.82436779268210,50.93793251279170,63.15875267272910,62.14051579435230,51.75774593668250,49.33509963655960,51.08895403477100,58.19665837322310,57.48588793937790,51.18337534776390,54.13255710607290,67.90650672742060,72.34245162302090,62.63106037128150,75.34751693247690,68.82584456610650,62.71574497638450,64.93594415582800,69.62740244159820,73.64762046349440,62.99443247809200,67.19481735309630,56.86134916409650,54.48639973497150,69.43410900180100,60.34871168917880,65.80248805838190,61.41348979873300,60.64700079720360,59.18530875438230,63.01775376202900,59.95179775591160,59.25659471461960,60.36067648964770,71.83246488803400,71.07399064333500,82.97577087081300,85.63308315812590,73.20458874326820,70.45467150992860,64.00498341832680,61.99077132061610,61.69799102823470,64.06578520412770,77.08865317153960,79.62549589691860,66.50789575525540,64.76677558525970,2.54006330155239,0.29970824782877,0.61975896978929,-2.05541948064229,-2.05541948064229,3.88928710722931,7.66125404343098,8.39610316065622,7.29382948481837,7.59672005035316,7.59672005035316,8.60125663609579,-5.05785615893132,-5.56946203270817,2.10462607394446,10.88884873609210,10.40548362436880,12.82230918298510,-2.48409037036819,6.69702090342169,7.84465981264543,8.45427544869940,11.37421734364310,6.36860266659675
-9,51.54464341781830,59.96128603757150,60.49446713067960,60.33268209321760,56.20967407159250,58.30312343243540,52.73515921166570,58.81477315124960,50.66074468960600,58.27390626381910,43.28891546447150,61.41029968693830,55.91168683038350,51.27826490760700,54.73032946911960,55.71649859393780,53.19411011849380,58.05977926583010,65.93592244482990,64.55238441750730,54.92891962242660,65.93380959934340,62.05392361618950,63.34721894390750,49.27074007276820,49.27074007276820,47.97578741949480,39.64451443606790,47.53128293545320,45.80082129250820,41.54276710402770,36.16277492402150,41.84893839478320,56.43746655621910,38.41468914433100,43.32999207484590,59.59625060511290,51.06903880312840,,57.36940783537780,65.22029682263560,63.62168375850330,45.01717775272520,49.01212324725110,53.67289299086470,58.43414361781550,53.51751066506550,48.76761180681530,60.34871168917880,55.80671802776490,53.07700986357470,56.11935274826500,53.81988574367700,52.39383668097420,47.68797373144230,53.12468270238490,50.05872669626750,65.99047138550060,65.23199714080140,67.41709969287500,70.54727645595500,69.36163148258320,68.23319097732510,65.16473389160830,60.72925789771720,59.19315808702980,58.02004926930400,51.57174053314360,56.30732888492970,69.99013609524700,63.10773623691020,46.58997657690180,-0.66044391805278,-0.98049464001330,-0.98049464001330,-1.06463504933036,-1.06463504933036,1.24719529039748,4.35443301591742,5.45670669175527,7.66125404343098,6.59218346461052,5.92249240744877,7.26187452177228,-7.10427965403869,-3.52303853760080,-0.96500916871659,8.95538828919896,3.15500694851969,9.43875340092223,0.38500690269113,7.27084035803356,8.41847926725730,10.12281367438150,11.79135190006360,6.36860266659675
-10,14.92082128987900,20.42972353437130,33.65768032064480,37.86143290824500,12.47724401410910,16.22245221160460,15.80394040408710,25.44995278338750,19.91203816831840,26.21299571637760,22.72811413513400,31.44031808824310,24.46527563952580,18.03991655681710,23.44716453744850,22.08465225468520,15.75117487697400,17.88067146227870,28.64169710329780,25.43678444755620,24.74501543389500,32.30813107867640,35.54136939797130,23.90171144850960,26.68083476622150,28.44166784262480,26.65039547368470,18.18679006355030,16.07355856293560,20.84828800884420,15.19504712558790,23.72429233173040,20.83199667018250,19.08116428430550,39.07006286839970,40.70849717857130,34.68106606581810,21.61651184293700,25.69677605258010,32.30742336117820,17.10326255357510,20.39218560017380,21.04750478556950,14.38926229469290,14.38926229469290,16.36114688059690,17.78484659384040,18.10067542881570,47.16875213027140,29.90128027405030,21.00627246435590,16.69710239702190,25.12848141384460,18.23008040008060,22.46512264121140,28.26572338019930,29.72741542302060,20.43739482329280,14.42836280509040,20.43739482329280,29.70485829126610,24.73346052532300,21.00491220086570,29.19315808702980,20.43049257556430,14.38133275573280,24.99718130189210,28.54887256573170,29.60651915858710,31.44869688856070,39.34293652023650,24.56629703022390,3.82026618939446,1.25986041371032,-1.30054536197382,-1.06463504933036,-1.39489652643434,-3.04620391195423,5.45670669175527,6.92640492620575,3.61958389869218,6.59218346461052,8.93610216467667,7.26187452177228,-7.10427965403869,-8.63909727536922,-4.03464441137764,10.88884873609210,9.92211851264551,6.53856273058260,-3.63172927959193,-1.91027091575632,-8.22228491648688,4.70006444091464,6.78573722301728,5.53433355375570
-11,10.41353763529430,20.13582935689070,22.17143833486030,34.94849319908180,11.22884128161070,20.79992889743240,12.83383893681280,14.37412355324950,15.25259333309350,13.66742202390050,3.21277728016960,8.09161149391069,18.22306393404010,14.91347684634260,22.05209096546200,12.83589451139080,19.86560176760480,16.50241713367950,21.66270557050780,17.13555628362080,19.27216472078190,19.72154042324040,23.94778902813810,30.36818808709940,15.07410497058600,12.14513786928100,13.68825038038780,11.92324252369190,16.42244279534880,15.03528157716860,16.66580191944530,14.35113980515550,8.61576240822673,14.16586135379060,16.45966938803090,13.83817449175630,26.21334317725860,16.30373800581390,25.40816730431960,12.52068786128360,15.57573765614460,13.35553847670060,12.39178954742990,12.40442581111500,14.90700466516410,15.24316307021540,16.68073892652780,14.13905540290280,21.26190438676240,14.18623202326330,15.54967611556410,14.32634943219660,17.46359139855120,12.86465738937530,22.06252540772720,13.52421745054870,19.62048648266470,23.71504865140320,19.60776526771910,10.32107942140630,18.34759991355270,14.79066499343690,12.55202271925000,18.61328285038910,24.66244267022060,12.74346999542800,15.52600459831980,14.34210751037330,23.68703371885450,11.16613751187860,19.06037714355440,12.54261748354600,-0.66044391805278,-0.66044391805278,-0.98049464001330,-0.73437357222638,2.71594243485025,-1.39489652643434,7.66125404343098,7.66125404343098,4.35443301591742,6.59218346461052,6.25733793602965,6.25733793602965,-10.17391489669970,-10.17391489669970,-3.52303853760080,11.37221384781530,10.88884873609210,6.53856273058260,0.38500690269113,-7.07464600726314,2.68028472113860,7.62000633585834,6.78573722301728,8.03714089227887
-12,10.46209533252540,13.46695110224860,27.94186295867910,12.47724401410910,10.83905179920790,0.40935093329052,14.54039947013380,13.02155064062800,15.22150979968400,14.81904308388020,13.77357860950710,10.96908061732270,12.47952338690730,6.12540304110615,16.97046783586860,10.70639792608610,16.59197103545530,11.54719408456740,12.41577598034630,10.21786614700800,18.89562951586270,19.07489275938140,17.82767501129190,20.66847312921470,8.22394727732821,5.04682031818995,6.58993282929668,12.96151950945890,13.34428936712860,7.77013458062403,12.70735060712960,8.79811322098097,13.11194975021930,16.61796211109510,16.45966938803090,17.77041683616820,19.21840848671470,0.69119668473015,12.66196628641160,18.55969928430380,2.59177602798539,5.04584845916708,10.92469543432330,3.73607430929036,13.58799243067390,16.04531804562150,12.86821364109030,10.15979602296540,12.17368709455150,7.82349292585974,12.36971655665670,10.56519038478730,18.23008040008060,12.42947966109280,12.42947966109280,14.21942049184070,12.06252540772720,14.80759992744000,3.50285004472247,7.32677951085126,10.71888986029660,6.33777551182114,13.43340661572350,13.12634285953320,10.53225552518170,-3.60445514655649,13.68703371885450,15.78414298471780,14.87093080680100,4.33978237479085,10.80149731355020,19.06037714355440,-0.66044391805278,-0.34039319609226,-0.98049464001330,-1.06463504933036,-1.39489652643434,-3.04620391195423,8.39610316065622,12.07034874678240,0.68018742979123,5.92249240744877,6.59218346461052,7.26187452177228,-11.19712664425340,-9.15070314914606,-4.03464441137764,1.70491161334987,7.50529295402914,7.50529295402914,-5.92700709803940,-7.64846546187501,4.40174308497421,0.94585343312987,6.78573722301728,3.86579532807358
