"log[Drug], M",Gi1,Gi1,Gi1,Gi1,Gi1,Gi1,Gi1,Gi1,Gi1,Gi2,Gi2,Gi2,Gi2,Gi2,Gi2,Gi2,Gi2,Gi2,Gi3,Gi3,Gi3,Gi3,Gi3,Gi3,Gi3,Gi3,Gi3,Goa,Goa,Goa,Goa,Goa,Goa,Goa,Goa,Goa,Gob,Gob,Gob,Gob,Gob,Gob,Gob,Gob,Gob,Gz,Gz,Gz,Gz,Gz,Gz,Gz,Gz,Gz,arresin1,arresin1,arresin1,arresin1,arresin1,arresin1,arresin1,arresin1,arresin1,"arrestin 2","arrestin 2","arrestin 2","arrestin 2","arrestin 2","arrestin 2","arrestin 2","arrestin 2","arrestin 2"
-6,119.62233573338800,118.10372194945000,116.61747996366500,104.44291197483100,119.42374476481200,111.12661616151300,122.87249188911400,118.21304705388900,118.79547765829200,121.66561177020200,109.75109825449100,123.79384149663600,127.13939511396200,125.63691060055100,123.86576438181200,113.82560129183000,111.05852523718400,113.82560129183000,127.72289560145000,108.27967796150500,118.96054025047600,121.47701138282400,110.74814919656500,119.70987221079800,117.97519570547100,108.33058092239400,110.86749136701900,113.73042436033100,120.69561459416300,117.97915803296700,112.22723150197400,113.75475639940500,116.80980619426600,116.59960266149100,118.59707540875400,121.26037240510500,119.43481399669800,113.97821764790600,118.97892264280400,117.10869284002500,114.00709385378900,115.57571483696600,126.34220383849600,120.13900586602400,111.70762684920100,125.57587869001200,126.76152366338400,127.88996416864200,127.38247188855400,121.61442198321000,122.67240950687400,113.66321240279100,115.50218328225700,117.34115416172200,102.39588855323400,99.43700443636500,108.47685227048400,99.57295978050200,97.16897375389400,96.83871227679000,100.09316897889200,97.15377250999100,93.84695148247800,106.98383019819700,113.35521815905600,116.93645927549400,120.12936398555200,118.34657088484700,106.41311043795400,114.90382855346700,122.36348146342100,116.62528691730200
-7,126.10048476963400,123.09562899991100,111.04383412286500,110.26879139315700,119.83987900897900,107.35585168399400,109.09151683373300,106.66311469097400,115.39957375702100,102.47000666155700,114.52699765108300,107.76534600187300,114.52745273674200,106.87073340863400,121.07471420104100,108.29144918253900,108.60668299128100,112.44206326450700,115.62615537043000,123.71080307257300,116.11932044595600,113.82630262478500,104.51848728196300,105.55676426773000,112.59520352546500,115.79367047776900,109.75212179008400,114.94434826679900,112.51650045386400,110.69561459416300,106.11713191225200,109.17218170711300,107.64465680968300,105.94641467608800,109.94136017061400,112.62992969433500,114.89000035569600,117.16099718640300,118.52585126849800,115.57571483696600,110.21029182626100,122.43847287061200,115.54007185684800,105.57571483696600,110.97678082779000,124.16141584418500,114.21862031229900,115.46146975378400,115.36825979084300,112.77417245649200,108.54222236183500,119.45644734743300,123.66321240279100,114.72085899564700,106.87659866068100,97.19664938264200,96.23649721676000,98.58217534919000,91.55452864312600,114.85714341416600,96.78634795137900,98.99089530305400,94.94922515831600,104.93740670308900,119.26237116884100,120.28558291639500,116.26244309176500,110.28003133174000,119.31330110829400,114.90382855346700,116.95403710031600,120.15188455638900
-8,122.62719150311100,119.08915464028000,116.11667066871100,113.59786534648600,95.28795860317510,110.68492563732300,104.13603282306700,99.08186908725500,109.37790826269500,95.26015380553000,91.87932798092500,98.49850215632000,106.11949115192900,120.41302584611100,114.52745273674200,105.52437312789400,115.90090833281300,106.21614214155500,115.00891036598700,114.51574529046100,122.47631306368700,121.47701138282400,107.97941056785300,113.17079549668800,100.86749136701900,105.48749918701300,107.61981048854900,113.12346240709700,114.33738631356500,121.62092975236900,114.51851884812000,109.93594415582800,115.28228129683500,104.61476617791300,96.62487518886100,93.29575394342300,103.07066490950000,97.16240717619700,93.07207489929500,120.90549486755300,114.00709385378900,113.24060485226000,103.27624783237800,111.70762684920100,105.64700079720400,95.57587869001210,93.20458874326820,116.70431919527000,95.84637207786640,110.65819740916300,107.48423483817100,106.55982987511200,98.39880075457730,109.05387454609600,98.87533061166810,96.87659866068100,98.47685227048400,99.90322125760600,100.56374421181400,95.51766636837400,98.25604618582900,94.94922515831600,96.41892339276600,101.35616558665200,119.26237116884100,111.30879466394800,116.41311043795400,119.79666622001700,123.02955465589100,116.05146746269000,116.87035618890100,117.28278728333000
-9,91.12476361825000,96.61747996366500,98.60453124440300,99.03316680067060,98.99483238063400,100.69770377733500,101.12520007590500,105.88332463627700,107.72929617463300,86.07493308957000,84.89357572830620,88.27440155291130,108.68665657826100,92.98019127244300,94.39312188407830,104.35975340112000,105.74329142844200,109.57867170166800,85.37957283266650,100.19345293929100,106.98314798816100,111.97781111116700,109.20907248245500,95.43873439705700,95.15672093317400,104.75212179008400,106.12444873160800,111.76523412650000,101.47662537823900,115.40700584590200,98.06208211739120,101.11713191225200,88.13317028409300,93.59707540875400,106.27300866879000,91.62487518886120,93.52444127870300,91.25344444799630,90.79896308389610,85.17464884614200,86.70762684920100,102.10869284002500,111.30656085837700,99.80922583543700,94.44380282473170,99.30442701446940,108.00437310487000,109.24722254635600,92.29606016946800,108.54222236183500,99.60020988549900,101.95049201841700,104.31828619431000,87.74372696305850,100.47558422147100,105.27634505087800,101.11568566539200,99.24269830339800,91.88479012023000,92.87557455154200,97.23330942745100,94.21437604109000,97.15377250999100,92.14725985866850,105.96061845064300,111.58828306218800,110.94542686280900,129.31330110829400,120.61272909727500,113.51112037264500,116.05146746269000,110.06820364497300
-10,73.51550879947980,80.09077323018800,80.62395432329600,62.82948755821460,76.56191761569790,76.13300523151960,92.68478018529900,80.05901859224600,81.03616809723660,63.71221836704230,47.82620034609450,72.31714479505580,78.41799487293330,76.73640255597070,79.25879103141460,77.00422666341040,85.30545482734590,80.52437312789400,64.70186518383580,58.65349506832550,59.57936257498950,71.13891633766610,62.90605550969180,65.67479413840380,66.37051836244300,60.32896967475870,74.54437835166290,84.74055497924320,95.37726138918950,88.38232669864550,101.88089436096700,91.04604374555000,96.53455721996070,84.32608097626720,77.64256595802040,88.99948698356600,56.71004079678810,70.80178306348470,70.34730169938450,59.88051179567430,59.95179775591160,61.41348979873300,72.98211078191040,77.58104479108640,69.14966577426370,93.09017980704060,81.90453483366860,94.33302924852630,92.67240950687420,102.19429721985100,101.13630969618700,81.82424152332580,90.11152113895150,92.47931531484460,27.50401961447270,27.82407033643330,29.42432394623580,35.26412743210720,35.26412743210720,30.64046675265150,41.46431343579190,34.85067138076480,34.48324682215210,28.70813151034020,28.19652563656330,32.80097850055490,38.44066010431860,39.40739032776510,45.20777166844440,59.48841072771360,58.34077181848990,66.37424418305610
-11,51.98070911646400,44.46856969215630,53.98394629627940,45.78076168741420,57.83587662822060,39.95488226908790,49.78227490976200,41.43088699782440,50.74977666827430,18.70183397435660,24.32279816571070,16.05416430419860,34.69659463190490,31.33340999797960,43.10455621671800,31.34747176176580,34.17584921258810,37.57339288471730,13.77915231731260,21.80333737506780,27.04991991283080,33.76094485005500,36.87577580735590,20.95552869226230,31.18738188710510,33.98124969631890,34.43506276557560,32.86018020611700,20.11397918820900,30.43233239318210,40.77989846374770,40.77989846374770,40.77989846374770,37.03992302735840,41.71332903465710,31.70069277097200,38.53360621236650,36.71568075596550,35.35223666366470,44.62201772532490,32.35819370085550,41.55606171920760,46.99277069015020,44.72894666568080,32.46512264121140,38.40480438166650,84.39023371664010,58.29039544543890,51.41089608397540,56.70083370229570,52.46888360763940,48.67512306082280,52.62938712599900,54.59460850055550,12.86011402351290,15.42051979919710,12.54006330155240,14.21954858433330,13.55902563012530,13.88928710722930,16.19155580898050,13.61958389869220,13.25215934007960,21.47661504249340,19.26710830682020,13.12783782149810,19.92211851264550,18.47202317747570,20.88884873609210,20.13993763109290,31.61632672333030,25.30431272259970
-12,19.92891423941750,11.12126204772140,47.97423475683320,9.56430430494606,24.54513709492790,12.84226569822680,22.40803650281540,23.17817881103370,17.35387276700250,24.32279816571070,24.32279816571070,16.37978915523680,25.44783688861050,28.90057542431150,38.05977926583010,25.12155063881420,29.27216472078190,29.96393373444320,12.36011973512250,29.42799799367680,24.12095281152590,12.30322047753750,19.91725170649530,32.72266786428800,16.31041670252270,19.50888365482620,16.66580191944530,12.34361308143840,11.44804237994410,33.29867269635780,16.33950010485980,5.64682582284638,19.39454989972080,14.38926229469290,8.39684405290397,11.07277731293970,11.91382520276210,10.55179110025560,9.64141838226077,12.42947966109280,23.92681468403280,17.79490267179820,26.59017345666600,25.12848141384460,22.02688242760860,38.40480438166650,16.03351443492260,42.13335270612390,9.09139513741240,11.20737018474050,32.36712065802200,21.97431333448020,30.38784344519710,25.65225509341090,10.61975896978930,13.18016474547340,10.93980969174980,10.91693381329350,13.22876415302140,11.24719529039750,15.08928213314260,12.14988566424170,14.35443301591740,13.01143266382400,14.66265544282860,14.66265544282860,16.53856273058260,17.02192784230590,15.08846739541280,12.68028472113860,13.25410417575050,16.69702090342170
-13,11.13744794679840,17.66415468027560,9.61883416285987,12.88060011826320,16.63858645577070,13.70009046658340,10.36470551416500,9.39720375565283,13.17817881103370,10.02566880943560,17.70362399031570,5.12719305706530,10.31350603594680,18.72146762076000,10.58216774127410,18.89562951586270,10.65570274810450,13.04624359783040,10.38430479287770,19.02573485507560,10.69292729509900,7.45792787729162,2.95872760563469,10.57275883459250,11.64119495636180,16.97197321020090,15.09661927325370,8.12462386551500,12.37335753815100,19.33854777198240,6.41058827156163,4.88306337413114,4.28208601045183,6.39937130564099,11.71332903465710,15.06772280746570,7.62887345354897,4.18764201305768,6.91453019765922,7.06405665038745,1.69863363968210,14.43327837255260,17.42794841843260,14.39763539243400,15.89497041537390,35.91910549869500,13.54781555195110,17.27636387640840,17.07718303970170,8.13517056336570,17.55529532672500,10.79041624653370,19.73276965367830,18.54887256573170,13.82026618939450,12.54006330155240,12.22001257959190,11.90771824460540,12.89850267591740,13.55902563012530,12.88473478146690,11.04761198840380,13.61958389869220,6.47696146239920,9.54659670506030,14.54625028515450,10.73818138990330,20.40548362436880,17.50529295402910,9.23736799346740,10.38500690269110,16.69702090342170
