"log[Drug], M",Gi1,Gi1,Gi1,Gi1,Gi1,Gi1,Gi1,Gi1,Gi1,Gi2,Gi2,Gi2,Gi2,Gi2,Gi2,Gi2,Gi2,Gi2,Gi3,Gi3,Gi3,Gi3,Gi3,Gi3,Gi3,Gi3,Gi3,Goa,Goa,Goa,Goa,Goa,Goa,Goa,Goa,Goa,Gob,Gob,Gob,Gob,Gob,Gob,Gob,Gob,Gob,Gz,Gz,Gz,Gz,Gz,Gz,Gz,Gz,Gz,arresin1,arresin1,arresin1,arresin1,arresin1,arresin1,arresin1,arresin1,arresin1,"arrestin 2","arrestin 2","arrestin 2","arrestin 2","arrestin 2","arrestin 2","arrestin 2","arrestin 2","arrestin 2"
-5,104.56568508661900,108.07135015129600,111.64175881228100,105.69131470732900,105.66575842730500,103.57230906646200,108.69679793314500,102.67513243882000,109.86165914195200,104.75109825449100,99.07879644426580,110.70835501234700,103.06974517421900,103.91054133270000,103.15929907599400,113.66798438745900,105.36675622352300,106.81159564702300,93.21921531711700,87.84855285043730,107.29177049038300,120.97621165448100,101.24894892490800,110.32070452638400,94.09056528240620,103.68596613931600,108.66135917623300,100.23295701505900,105.69561459416300,108.73042436033100,116.39238088655700,104.93594415582800,113.33733109169600,116.26037240510500,99.61476617791310,115.59454815601700,105.79684809920500,98.97962763770070,102.16099718640300,98.27624783237840,109.77358285531800,97.50975883084900,99.80922583543700,108.24060485226000,112.07304985990600,107.88996416864200,104.27582478041300,110.43286751972800,101.13630969618700,109.60020988549900,113.83215998015600,109.05387454609600,110.23777163404300,116.15725707377500,16.94234578977570,17.90249795565720,18.86265012153880,16.10896176007650,18.42079209980430,19.74183800822020,15.00974521568330,14.64232065707070,13.90747153984550,39.45185485965380,39.96346073343070,40.47506660720750,37.95729499259530,41.34085077465820,38.44066010431860,35.38799363401510,41.12618818013380,50.88111890853560
-6,108.07135015129600,104.09724758981900,103.62881009301900,117.34307354398200,105.24962418313900,106.48524877562500,109.57526771298900,105.69561293246200,105.49825348216800,88.27440155291130,88.27440155291130,88.20316281600370,104.48267578585400,104.48267578585400,108.86576438181200,110.90090833281300,98.44906608691030,108.51036748308800,85.07095033044510,93.03467274381240,93.83646032155970,108.86298015386600,103.32550289644200,114.40045741129000,107.69363137779900,98.35518788547740,115.05829308084000,108.73042436033100,103.87472873446100,105.08865264092900,101.11713191225200,104.17218170711300,103.40841925839800,111.59960266149100,101.61223892517600,113.59707540875400,93.52726125829190,91.25626442758500,101.25203445820200,95.24593480637970,102.87518184155400,99.04273683390770,98.27624783237840,99.04273683390770,96.74326982931970,104.39023371664000,107.94716863675600,112.91856640269900,115.94813502748400,108.06411007481200,104.89014750382000,112.60556580993600,107.99622795324100,109.70894833761500,10.54133135056530,14.70199073605200,15.98219362389410,12.14582403482870,13.79713142034860,15.11817732876450,10.96807507094460,16.11201889152120,13.54004698123290,33.82419024810860,34.33579612188540,37.91703723832330,35.54046943397890,35.05710432225570,36.99056476914870,39.40472981629820,38.25709090707450,46.86438272625250
-7,100.62395432329600,101.06002002194200,108.57215944624900,91.98444092987010,91.10105988148900,100.25601325314500,89.19019655888030,102.29006128471100,100.15769831739200,92.31714479505580,99.59823638799030,93.71221836704230,99.43789883496620,91.29859895548000,103.82098743092400,101.21614214155500,98.44906608691030,106.05852523718400,95.01048768605720,90.07252765051560,91.18293773048430,90.17399441006060,93.63491769595050,101.94113358208600,102.26442527162600,93.02440963163830,107.59520352546500,92.31270716630840,97.16840279217810,94.45194623098260,89.66069518152350,101.11713191225200,101.88089436096700,96.95146918156250,98.28311767973780,97.61729343065010,90.80178306348470,90.34730169938450,96.70722081719940,92.17997880026230,102.87518184155400,98.97145087367000,92.17997880026230,91.41348979873300,90.61135781708500,98.11878204109750,95.69028762623970,94.21862031229900,107.58599778778900,108.06411007481200,103.35404769313200,99.58269784252380,98.39880075457730,105.62843377734800,1.89996185763136,3.50021546743394,5.42051979919705,5.87085596985317,5.87085596985317,6.53137892406112,6.55898036759313,5.45670669175527,6.55898036759313,17.96440816102650,15.91798466591910,18.98761990858020,20.07278585883420,16.68923007677130,15.72249985332480,24.48542399638960,23.33778508716590,27.35452126944900
-8,72.48151841141790,69.92891423941750,73.56406649671100,79.47485732486100,72.81670941820240,88.21367645235050,77.25519304185560,82.20102930604280,79.47658798784200,69.22127391808100,73.92593457776500,67.30676040237010,85.98516029926510,76.91551035952220,84.57222968763000,81.15484074537820,83.23014778636200,82.53837877270070,61.49471487284640,60.13614493504430,66.61721748169270,69.75454702331010,70.79282400907710,85.32870180981470,77.38746008704370,66.01513314552040,77.38746008704370,71.70574521307460,52.88992466282950,50.46207684989460,79.73178334822530,74.38544620721860,74.38544620721860,75.64509321075740,62.32860822900430,80.30586295437100,65.80248805838190,62.62111850968010,70.80178306348470,66.08370976814630,89.84486881555570,76.04806678802770,63.78424276355830,77.58104479108640,69.91615477579300,83.09017980704060,83.14738427515440,90.54727645595500,95.94813502748400,89.02033464885860,89.60020988549900,81.82424152332580,87.61747646796740,90.76659493047000,1.57991113567084,-0.66044391805278,1.89996185763136,2.23797972170942,5.21033301564521,2.89850267591737,1.78246110562909,3.61958389869218,6.19155580898051,4.15104956905182,10.29032005437390,6.19747306415916,6.05519761885933,10.40548362436880,8.47202317747569,12.43521544954040,18.17340999565910,19.89486835949470
-9,58.50741584994120,63.49932290040270,50.51065302975660,57.00360813988830,53.27117808240510,56.99082999987620,57.15651331670860,57.06748133804040,46.67276243745240,45.64663300078960,49.76061497984180,45.46348562356660,50.76127554482570,52.44286786178830,55.98516029926510,54.17584921258810,51.40877315794290,66.62769145849120,45.63088733064070,49.02573485507560,50.10886028264830,47.60463799361460,36.18359115017790,48.64291497938160,46.56737406711120,43.36890711480780,40.07201231017020,54.04435965587190,52.51208254443130,51.61651184293700,60.63772213034410,48.41752295090010,35.43356132274100,50.34377174542640,41.70069277097200,50.34377174542640,34.90057527915310,37.62746346375460,31.26190438676240,41.55606171920760,50.75392973755960,30.82521569779690,37.02841367026880,42.42947966109280,40.89650165803410,69.76206275938000,63.49061108383730,62.19055717423770,63.04875884428020,74.68662160458490,78.44045941221790,63.41071141260890,55.12343179698320,71.16916773180700,0.93980969174981,4.14031691135497,2.86011402351290,2.56824119881340,1.24719529039748,3.55902563012533,3.98700845730480,3.25215934007956,2.51731022285432,0.05820257883709,2.10462607394446,7.22068481171284,8.47202317747569,9.43875340092223,10.40548362436880,9.56611817648104,18.17340999565910,14.73049326798790
-10,29.00822514489500,34.45238379307920,33.98394629627940,31.60664110574040,27.43252052406670,34.91015877904540,23.95796886573080,30.40543679405330,38.51873397580870,28.36554140785520,27.77486272722330,37.37799913927760,36.37818694886750,38.05977926583010,29.83092548456860,26.50508866613680,34.49108302133010,31.78530836286220,25.93950983286210,30.75338993948700,32.85328481064850,17.84069773496140,20.95552869226230,30.99220622134310,26.92275928403380,26.56737406711120,19.45966972865910,29.02019456700930,32.69171074312410,33.87589019287900,40.01613601503240,33.14227397659530,26.26841193815810,29.70322002370900,36.38673504195590,24.37662603100780,29.90128027405030,10.35576163815050,23.99020256115820,22.46512264121140,25.53107864732880,28.59703465344610,24.36199241231520,33.55986043066730,25.93061339549260,33.54781555195110,32.30496611046530,28.46200884978040,26.59907075267830,26.59907075267830,29.87479627328790,27.23872498269410,33.28446091751790,31.04291723671580,1.25986041371032,2.86011402351290,1.89996185763136,1.57745676750146,1.24719529039748,2.56824119881340,0.31276287117862,5.82413125036789,1.78246110562909,4.15104956905182,7.22068481171284,9.26710830682021,1.70491161334987,7.50529295402914,8.95538828919896,15.87813217721160,7.84465981264543,10.13993763109290
-11,15.46695110224860,16.96937898711010,15.46695110224860,17.79353982742630,12.34546023322980,19.01638627990060,11.24317529400910,23.37553826132770,17.64026419596470,15.07020206753930,3.74636723246030,10.70183397435660,20.63191371898420,22.49261383949830,16.78614853368070,33.42277880274960,27.57339288471730,27.25815907597520,9.79124484619020,4.85328481064850,18.98945726844280,15.72426732097420,20.84229719164760,19.22186813594490,14.17810540098710,12.40117931637410,10.21965408867140,16.80120535108590,8.30373800581390,10.73158581874870,2.99316296385310,11.39454989972080,23.61474907916480,16.38673504195590,9.72849255107928,12.40442581111500,3.91382520276210,13.72061572024560,19.62887345354900,18.29756764885810,18.29756764885810,19.83054565191680,22.82901440925660,10.56519038478730,12.13381136796460,4.30496611046530,13.00491220086570,15.49061108383730,20.71504580000650,16.48309570535020,12.83102084733460,23.81328421394560,27.89379877421290,35.65225509341090,1.25986041371032,2.54006330155239,4.46036763331549,-0.07385061801843,1.90771824460544,1.90771824460544,-0.78951080465924,3.98700845730480,3.25215934007956,8.24389655926653,6.70907893793600,6.19747306415916,6.53856273058260,4.12173717196624,8.47202317747569,4.97556253958608,10.71375708570480,8.99229872186917
-12,10.45885815271000,6.95319308803300,10.49122995086420,12.79992889743240,9.45807680409090,10.29034529242330,13.76060941543690,15.31054177835230,18.22269480036790,11.02745882539470,12.28005492356610,13.15568855182830,5.01500231494220,3.33340999797960,12.67172164304990,16.88162387105600,12.79231118526550,16.25115625357190,9.35854241505210,10.22394727732820,12.26022486396100,7.07195910624940,0.49620486305860,8.52968347876690,14.43506276557560,16.97197321020090,13.01352189788520,0.41323261377560,8.59234675407440,-4.88095550233500,9.86702500229030,9.17435072027690,6.04821275871410,18.38420778921880,7.73101980381631,17.05255929104350,2.55038111046130,6.90057527915310,3.71920573045130,-0.16945434808320,3.33167938631660,9.49923437866990,13.63114639090460,18.23008040008060,13.99810064427010,4.24776164235150,10.46200884978040,6.67625605720920,7.43932027939680,12.72925789771720,10.13517056336570,12.10056382957130,23.81328421394560,21.57174053314360,3.18016474547342,1.57991113567084,3.50021546743394,1.57745676750146,2.23797972170942,2.56824119881340,-1.89178448049709,6.92640492620575,2.88473478146694,4.15104956905182,12.84834942325810,11.31353180192760,5.57183250713605,9.43875340092223,7.50529295402914,4.97556253958608,-2.48409037036819,9.56611817648104
