"log[Drug], M",Gi1,Gi1,Gi1,Gi1,Gi1,Gi1,Gi1,Gi1,Gi1,Gi1,Gi1,Gi1,Gi2,Gi2,Gi2,Gi2,Gi2,Gi2,Gi2,Gi2,Gi2,Gi2,Gi2,Gi2,Gi3,Gi3,Gi3,Gi3,Gi3,Gi3,Gi3,Gi3,Gi3,Gi3,Gi3,Gi3,Goa,Goa,Goa,Goa,Goa,Goa,Goa,Goa,Goa,Goa,Goa,Goa,Gob,Gob,Gob,Gob,Gob,Gob,Gob,Gob,Gob,Gob,Gob,Gob,Gz,Gz,Gz,Gz,Gz,Gz,Gz,Gz,Gz,Gz,Gz,Gz,arresin1,arresin1,arresin1,arresin1,arresin1,arresin1,arresin1,arresin1,arresin1,arresin1,arresin1,arresin1,"arrestin 2","arrestin 2","arrestin 2","arrestin 2","arrestin 2","arrestin 2","arrestin 2","arrestin 2","arrestin 2","arrestin 2","arrestin 2","arrestin 2"
-5,81.99689501554110,86.00336937517190,84.53331328846450,85.31351488319940,94.02677773066500,87.79754220818420,77.54158447081790,78.70644567962410,89.77262716328330,85.10749443939510,91.24410629872200,88.10771287560300,84.60862078067600,77.61248413537180,87.68372287227930,87.84586041977900,99.43789883496620,104.48267578585400,92.91491397762000,93.60668299128130,82.59968016887800,82.74664885967700,86.28017222108720,83.39329652353600,66.61406284155190,61.92426266384370,69.02258021493480,91.90445605300560,86.36697879558170,87.05916345275970,86.27209051010890,87.64441745163230,93.73518006548350,85.77099141624450,83.31889065894000,83.14949651996990,88.12346240709700,99.65573951853800,95.40700584590200,90.21119313013300,100.28228129683500,101.88089436096700,91.63751145254630,86.26037240510500,96.28564493247480,102.14296580294000,94.98660201847120,97.99697232850250,88.52655626339480,98.07066490950020,83.52726125829190,89.11402279414510,88.34753379261570,89.11402279414510,84.55073176508770,88.38317677273430,87.54540181096770,84.35164447144540,84.89792010946380,91.24102915900380,102.91856640269900,106.70431919527000,130.37566305161400,103.25228474351500,101.13630969618700,96.90435960153050,104.31828619431000,101.95049201841700,106.68608037020300,89.26085569859020,86.87253595358380,85.13141578358810,5.42051979919705,3.18016474547342,7.02077340899963,2.89850267591737,1.90771824460544,4.88007153854124,10.60065051233190,9.13095227788146,9.49837683649408,2.57403712164000,3.57857370738263,4.91795582170614,1.08141432639077,11.82513767570440,10.29032005437390,20.07278585883420,24.42307186434370,25.38980208779020,22.19014617794220,17.59959054104720,15.87813217721160,14.71129379500730,10.53994823080200,14.29415923858680
-6,88.50741584994120,80.47828123160250,80.05840143203400,89.46207918484890,92.33668447397600,91.15217244153780,81.61859870163960,88.60776595447710,65.31054177835230,79.18319575128090,77.09226680253480,88.38006284942560,77.61248413537180,82.53086100577850,85.69797061966080,92.71152956711560,80.94038334837720,87.57719871445200,94.99022101860380,92.91491397762000,83.98321819620100,76.28017222108720,87.22710492706140,82.10000119581800,74.26916275269780,70.56569272604160,73.96054025047640,78.06076290944590,81.86777852392480,86.36697879558170,69.92437053166900,78.80900095473410,67.43667401321080,65.61269869318030,80.53910303960120,77.90650672742060,95.98422334242320,94.13359302600950,94.16333748272210,104.17218170711300,105.69970660454400,87.36940783537780,70.98432346714380,84.96663269798460,91.66278397991660,100.87212404112700,94.51791523206480,93.88249435115860,92.16522715578550,88.52937624298340,93.07418988398600,86.77891280943830,89.95179775591160,93.01775376202900,89.98744073603030,80.75392973755960,81.55606171920760,85.06495862513260,79.43516372927980,77.79633681522460,104.27582478041300,110.49007198784100,85.63308315812590,94.78838455420230,90.55643445954600,90.55643445954600,104.31828619431000,97.21490366663080,100.76659493047000,87.88437572692280,83.75493581192070,89.99013609524700,2.22001257959188,4.46036763331549,0.93980969174981,4.54981006143726,1.24719529039748,1.24719529039748,9.86580139510670,10.96807507094460,12.43777330539500,2.57403712164000,0.23011842157387,4.24826476454438,8.75550243304337,10.80192592815070,13.87156117081180,16.68923007677130,16.20586496504800,19.10605563538770,14.15667381337600,16.45195163182350,14.15667381337600,13.04275556932520,13.45989012574580,11.37421734364310
-7,86.03574117332600,64.50094149031040,73.59643829486500,77.39418610403030,70.68492563732300,78.22645459236260,71.13484782238350,53.07949908588680,51.91463787708060,77.44075496065910,81.62261285815140,77.44075496065910,60.40263127934480,59.74071386180530,58.48811776363400,73.37321792204540,68.41799487293330,71.02993725015300,75.62068863608790,92.91491397762000,94.29845200494260,73.04693390179220,62.05392361618950,78.22011521266410,61.61564016162230,78.58987778379670,81.67610280601020,66.29362373742020,76.67639359509000,77.36857825226800,57.13050272245520,77.74284530396630,58.90742880706830,60.69739576266540,59.05896145249370,59.38664831452800,88.09371795038490,91.12852771655350,83.84498427774890,104.17218170711300,102.64465680968300,82.09415886107280,88.33366273447830,73.64762046349440,80.34377174542640,98.33044051750230,84.65313382947140,85.75724149678390,68.52937624298340,73.98315261218650,73.98315261218650,63.01775376202900,56.11935274826500,73.71295680332100,60.78957271767820,65.38850672685430,59.29223769473820,68.50965096891180,75.61123426315100,67.41709969287500,96.81872813149790,110.49007198784100,88.11878204109750,83.15052179389750,83.15052179389750,82.09253427023340,91.29541822689810,88.92762405100500,105.50218328225700,81.00197586858600,86.50789575525540,82.37845584025330,-0.02034247413175,4.14031691135497,2.86011402351290,1.90771824460544,0.58667233618953,1.24719529039748,9.13095227788146,9.86580139510670,8.39610316065622,-0.10472710700701,3.24372817880175,3.24372817880175,7.22068481171284,3.63944369527498,10.29032005437390,16.20586496504800,19.10605563538770,17.17259518849460,15.30431272259970,15.30431272259970,7.84465981264543,4.28292988449411,10.95708278722260,13.87702468216630
-8,50.97909052655630,48.95966744766380,50.54302482791070,50.34546023322980,52.00999720989450,51.98444092987010,28.03498309655260,70.55241721798040,47.25519304185560,54.44053652445110,52.00111941758050,56.53146547319720,55.76920935656840,39.88319133562050,43.92593457776500,59.16923712963880,55.71649859393780,53.46277182382120,65.30545482734590,63.92191680002330,64.92891962242660,55.88773201971490,51.70756099444580,45.88773201971490,33.53099245947920,32.91374745503650,38.77757499724220,48.29682265079260,44.48980703631370,45.18199169349170,31.54276710402770,32.60892275479550,37.93970100863450,42.51632562771310,58.07590086639070,50.86678990163550,66.85004958720490,55.31777247576440,53.49688661606320,65.22029682263560,62.78683314308630,58.34643478419840,61.02223225819920,49.01212324725110,67.70574727644610,69.26781409031500,69.10107999581510,58.76761180681530,40.80601303286780,46.71427076617110,39.89846029446160,35.42414970697290,44.51508878496900,45.31722076661700,43.16032568250350,44.69330368556220,43.96245766415150,50.48255491430470,49.39000363826790,49.01076651591840,71.84733036555480,73.20458874326820,70.71888986029660,54.58485865496760,67.28070893893640,71.51265903359270,62.88188811618120,61.69799102823470,73.53696190770000,65.86069618024490,63.10773623691020,60.35477629357550,0.61975896978929,0.93980969174981,0.29970824782877,-0.07385061801843,-0.73437357222638,0.25641085908555,9.13095227788146,9.13095227788146,8.76352771926884,0.56496395015474,-0.10472710700701,-0.43957263558789,8.24389655926653,7.73229068548969,3.63944369527498,15.72249985332480,22.48961141745060,16.68923007677130,10.71375708570480,15.30431272259970,19.32104890488280,5.95146811017623,5.95146811017623,5.11719899733517
-9,26.40706327566340,31.10507614864430,42.96614180729470,43.27117808240510,29.53874802492180,27.45807680409090,30.79050794816250,25.12283007453700,22.40803650281540,28.54625623764160,40.84949835760090,35.27368782761110,14.06841205158010,22.33704591309220,34.13965078848770,32.17420615646090,27.97022536405440,26.46774085064330,42.47707737652350,41.03223795302380,42.47707737652350,35.14892919659900,42.00784603656110,34.24807407025330,26.68083476622150,23.96369489061730,18.71711235285420,19.22506704931740,14.72586677766040,30.64611389275410,20.52582537942690,27.27814450095650,31.54276710402770,37.10394169619370,22.85511390565330,20.71959859447720,30.69119668473010,30.08423473149640,36.76081621706730,36.19732377145630,40.77989846374770,37.10326255357510,27.05255929104350,29.06266830199160,27.73101980381630,15.72572599969070,27.79872273690930,28.73609630972200,28.53783618174950,31.00627246435590,36.71991072534840,40.78957271767820,37.72361671156090,27.75925969167950,25.16412439396330,25.89497041537390,23.23161164274080,11.69698461499840,20.98367046131120,19.51188206292490,59.53324488692470,53.31899767949580,48.34759991355270,33.42510818168610,35.54108322901420,39.77303332367050,34.46835800546440,26.70990168626640,35.65225509341090,20.43685711522180,34.20165683189550,22.17797728521760,3.50021546743394,0.29970824782877,-0.98049464001330,2.89850267591737,-0.40411209512241,1.24719529039748,7.66125404343098,9.13095227788146,5.82413125036789,2.23919159305912,-0.43957263558789,0.89980947873562,-3.52303853760080,3.63944369527498,8.24389655926653,14.75576962987820,14.27240451815490,11.37221384781530,8.99229872186917,7.27084035803356,8.41847926725730,0.94585343312987,8.03714089227887,7.20287177943781
-10,14.61074121332130,21.13744794679840,12.91758411006360,18.32946819419880,12.06110976994300,18.27756715241110,20.50411651920030,17.55123221729650,29.19984430535880,15.40986281452240,17.50079176326860,23.77357860950710,22.92772459372410,24.18032069189560,15.71787173769730,17.88067146227870,21.24385609620390,11.33340999797960,25.81331965247550,19.33346611695910,17.94992808963650,16.78858714606080,16.78858714606080,20.02182546535570,14.73819781596860,10.07568229065630,13.77915231731260,13.68758979189350,19.57115937790630,20.95552869226230,15.24426105175490,15.90581755943310,16.61658799327830,12.19974018158460,16.45966938803090,20.39191173244280,7.19930870730814,5.54689231059986,16.30373800581390,24.74088704072760,17.86702500229030,8.70187561770737,23.04497753283250,27.03992302735840,19.06266830199160,13.35077657056560,12.54862159515940,17.63198864240940,16.00556746945870,14.64212337715790,12.36830656686230,10.89650165803410,2.46512264121143,9.36352365497546,15.19976737408190,12.09816838784600,11.33167938631660,14.52424600988460,20.22519621661210,13.05245761149830,17.27636387640840,17.16195494018080,18.40480438166650,20.72925789771720,16.01919551603760,10.83102084733460,10.79041624653370,17.89379877421290,41.57174053314360,17.09274231812560,13.91909745521340,10.80149731355020,-0.98049464001330,-0.34039319609226,1.25986041371032,-1.06463504933036,0.91693381329351,-1.39489652643434,6.19155580898051,8.76352771926884,7.66125404343098,2.90888265022088,-0.77441816416877,0.56496395015474,-1.98822091627028,3.12783782149814,-1.47661504249343,7.98865806575242,15.72249985332480,8.47202317747569,4.97556253958608,10.13993763109290,3.82792363036234,1.78012254597093,7.20287177943781,5.11719899733517
-11,12.13582935689100,13.16981974495200,4.12288063762900,9.88698918826900,2.39657279327800,5.73921336835900,16.81217344248770,12.69442793177750,10.94713611856820,7.49942667294000,6.71288649827400,7.40986281452200,13.01321107801300,15.58964201126400,18.97046783586900,13.24385609620400,10.20888243949700,19.97022536405400,26.50508866613680,12.03924077542710,14.17584921258810,12.02425211427300,9.43523480992000,10.91112781182400,5.77915231731300,-6.56574777154200,-4.40539025599200,-2.65251171949900,1.88057417741500,4.00299540859800,7.02118713636791,17.68274364404610,16.61658799327830,1.75527957471500,6.16586135379100,0.26749783717300,7.69677605258000,14.40310199486400,16.80120535108600,10.63078745100600,13.68583724586700,0.70187561770700,14.38926229469290,18.39684405290400,19.06266830199160,10.42026747474700,-7.52437514205900,-3.07642897571500,10.27797428996000,4.36830656686200,3.46075382845600,0.26572338019900,2.13001265650500,0.59703465344600,10.56519038478730,12.06252540772720,12.90030036949390,16.35720749421600,15.25562419997700,5.58970123131400,5.60502002006500,1.81926722749400,12.89050326463800,12.25114561069400,14.84523294504500,10.61328285038900,17.89379877421290,14.46835800546440,34.46835800546440,12.21034245978900,14.96330240312400,21.84570226146000,-0.34039319609226,-2.26069752785537,-2.58074824981589,-1.06463504933036,-0.40411209512241,-1.39489652643434,7.29382948481837,8.76352771926884,8.02867860204360,-0.43957263558789,-2.78349133565403,0.89980947873562,1.08141432639077,-3.01143266382396,-5.05785615893132,9.92211851264551,10.88884873609210,14.27240451815490,0.95882635730300,4.40174308497421,4.40174308497421,2.61439165881199,4.70006444091464,3.86579532807358
-12,-3.09536460919800,7.42163058483300,8.92405846969400,6.07789029071300,9.01638627990100,13.63219738576500,3.57289771162162,5.32018952483092,15.80394040408710,8.21299571637800,0.78858781015900,11.59172071201500,-0.55076212381500,8.97046783586900,5.66088074817100,8.28863304709200,3.24385609620400,9.21898310734900,14.42978162515290,12.73100978908840,17.25815907597520,11.90413809742700,-4.79101379497800,13.84408108900400,10.57784030041900,-0.51737765603100,1.14981478399200,10.23265732320000,3.26494349177100,9.14851307778300,3.82272018406450,16.97197321020090,11.23659581327210,9.89079488589100,7.09990585064700,12.18460292013200,-4.09436535040800,2.23411847347700,-1.40765324592600,9.86702500229000,5.97712459201200,8.33950010486000,12.37915328374480,7.03992302735840,9.05003203830650,7.42377330778400,10.90283040422200,7.09030511878400,3.26331437655700,3.26472436635100,3.71920573045100,-2.46892135267100,5.49923437867000,4.86465738937500,13.63114639090460,14.39763539243400,6.73274537714060,9.41363069744300,-6.92044633389500,-6.37417069587600,4.13335270612400,4.13335270612400,3.00491220086600,12.72925789771700,3.20737018474100,20.13517056336600,16.18107838983860,10.26159295010600,42.75563762109010,8.30741720022000,12.43685711522200,8.30741720022000,-0.02034247413175,-0.98049464001330,-0.66044391805278,-1.72515800353832,-1.72515800353832,-0.73437357222638,5.08928213314265,8.02867860204360,8.02867860204360,0.56496395015474,1.90434606447824,0.23011842157387,-0.45340329493975,1.59302020016762,-0.45340329493975,4.12173717196624,12.33894407126190,14.75576962987820,-2.48409037036819,10.71375708570480,13.00903490415230,0.94585343312987,7.62000633585834,8.87141000511993
